hgnc_symbol	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07
DNAJB4	14.8527	29.2084
ADGRL4	11.4024	54.5752
LRRIQ3	0.2905	1.2696
TYW3	9.5121	15.8041
LHX8	0.552	0.0435
SNX7	44.2951	21.0589
B3GALT2	0.0281	0.2317
NTNG1	0.0601	0.4972
FAM102B	12.6046	9.1536
HENMT1	30.4185	8.4184
AKNAD1	0.0495	0.2147
C1orf52	13.4805	10.0961
GBP2	20.0051	52.9318
ATXN7L2	4.3582	1.0338
GBP4	4.8343	26.7675
ZNF326	6.0348	6.3242
HFM1	0.1631	0.253
BRINP3	0.035	0.0911
GFI1	0.1772	0.4012
KCNT2	0.7701	0.9024
AGL	10.9737	23.1278
VCAM1	10.3519	17.4107
EXTL2	7.8789	13.8159
SLC30A7	13.9881	9.0463
ZNF281	22.1089	10.404
ARPC5	50.228	27.9848
CADM3	0.1167	6.4786
NLRP3	0.7663	1.6113
ZNF496	17.194	5.6084
TRIM58	0.0193	0.7867
SLAMF9	3.855	0.038
OR2M5	0	0
KCNJ9	0.1069	0.0103
IGSF8	114.382	29.5138
DDR2	8.4155	163.8839
PEA15	486.6196	295.5393
PEX19	36.3657	136.5894
NCSTN	180.546	95.0015
VANGL2	52.8496	3.758
SLAMF6	0.2362	1.6703
OLFML2B	36.7019	33.399
FCRLB	1.4245	0.4841
FCGR3B	1.3069	0.8539
SLC9C2	0.0779	0.0591
KLHDC9	3.278	3.4967
C1orf74	2.8122	1.284
LMX1A	0	1.3131
LRRC52	0	0.0315
FLVCR1	6.8216	1.927
ATF3	13.9435	4.2198
RBM15	9.6799	4.4937
DENND2D	9.5277	14.1206
AXDND1	0.0328	0.0355
TDRD5	6.3681	0.7934
IER5	13.0766	12.0404
SNED1	2.4854	10.1657
BPNT1	32.8735	19.4037
SPATA17	0.2987	0.352
C1orf115	11.6325	159.2023
BROX	30.338	28.7592
NBPF20	0.4019	0.2437
ACP6	3.5197	2.7131
WDR64	0.0303	0.035
KIF26B	7.2086	0.3364
TFB2M	60.0199	20.6644
CNST	18.2577	12.7262
PPP1R21	22.9883	21.1151
KLHDC8A	3.4298	0.0708
PM20D1	0.0382	1.3092
PKDCC	3.7871	23.8959
OXER1	0.5323	1.6763
HAAO	1.867	7.0792
B3GALNT2	10.4315	3.8517
MAPKAPK2	96.6192	54.1375
IL20	0.2866	0.6075
IL24	0.0756	0.0219
PIGR	0.2739	42.0221
FCAMR	0.0845	0.0122
CAPN2	82.6107	91.281
MRPL55	46.4297	22.1852
WDR26	25.9012	30.078
REL	2.6895	1.3928
PUS10	5.1976	3.003
PEX13	30.3678	11.2309
TRIM17	5.1258	0.3653
RFTN2	1.3562	8.3452
DISC1	10.5571	1.5392
CAPN13	4.4407	1.3003
LRRTM1	0	0.0257
MEMO1	1.1183	0.7792
DPY30	33.3978	18.2286
TYW5	2.3009	1.7333
KCNF1	3.7226	0.1699
ARL5A	14.4022	14.9231
KCNJ3	0	0.5555
NEUROD1	0	0
CLHC1	1.555	0.7361
FRZB	11.523	9.3036
DUSP19	0.5195	2.3087
CFAP36	28.2955	26.3294
NUP35	11.479	5.1063
CCDC138	5.7247	0.754
ZSWIM2	0	0.0941
FBXO41	10.0249	1.1115
ACTG2	28.751	118.6807
SMC6	13.4795	7.2233
VSNL1	1.8299	1.9066
CCDC74A	4.8809	1.9406
SLC16A14	1.8412	5.1674
TEKT4	0.0451	0.2149
EN1	5.5556	3.227
SGCB	23.8486	75.299
SPATA18	1.8053	9.7149
NOSTRIN	2.7762	20.3896
CFAP221	0.2894	0.1479
CCDC140	0.0258	0.0672
SGPP2	6.1481	0.7728
INHBB	27.8735	43.4716
XIRP2	0	0.0032
BBS5	1.9236	2.3089
BIRC8	0	0
SMARCAD1	11.6815	13.9615
HPGDS	0.1891	5.7392
PDLIM5	32.7042	29.6212
PDHA2	0	0
STPG2	0.0164	0.0071
NEURL3	1.4004	0.6766
RPRD2	34.3809	23.6698
ANKRD23	0.4864	0.2742
CTSS	69.2235	50.656
MSX1	2.8229	19.6863
PACRGL	3.1215	3.0907
BNIPL	1.6243	1.8289
C1QTNF7	0.0747	21.5697
TNFAIP8L2	1.2926	6.4268
LYSMD1	20.4515	10.7483
SCNM1	45.4164	12.249
TMOD4	0.379	0.7513
VPS72	145.0609	40.182
ERCC3	20.244	13.6361
RNF149	40.0774	16.0614
IWS1	56.1654	25.3186
BOLA3	7.1627	2.5353
CDC42EP3	21.3322	10.3222
S100A11	6851.8074	702.3733
LCE3D	0	0
SMCP	0.1944	0
IVL	1.994	0.0201
SPRR3	0.3809	0
DHX57	13.7283	8.5129
SPRR2D	0.3794	0
BMP10	0	0.0072
PGLYRP4	0.7463	0.019
ARHGAP25	2.4237	6.5662
S100A9	2553.3704	68.1885
S100A12	0.2058	1.1598
TGFA	21.5127	1.9712
TDRD10	0.1106	2.9901
CCNYL1	10.6426	10.2956
FZD5	3.204	10.8311
CRYGC	0	0
DCAF16	10.4639	16.1451
NPPC	1.1604	0.2013
GNPDA2	3.9689	8.3888
ALPP	0.1043	0
GABRG1	0	0.1217
GABRB1	0	0.0147
PAQR3	2.8361	2.763
NIPAL1	2.0265	0.7232
ALPI	0	0
ANTXR2	8.6233	65.176
HELQ	3.683	9.3019
MRPS18C	2.2456	2.2764
CGGBP1	35.0921	49.5656
GPR155	1.734	6.2044
DAPL1	0.4895	0.3592
PMVK	226.1225	68.5742
PBXIP1	175.6508	110.6616
CLDN1	70.2083	2.6357
PYGO2	77.3759	31.0347
HIPK1	23.4259	31.0471
LENEP	0.1367	0
DCST2	2.1771	0.7045
DCST1	1.1407	0.1897
COL6A3	211.3138	243.6476
YY1AP1	36.8753	17.7887
KBTBD8	0.8955	0.6213
EOGT	11.2718	21.8241
LMOD3	0.1865	0.3831
POGLUT1	3.9016	5.3169
SLC22A15	3.593	0.9102
CCKAR	0.0286	0.223
IGFN1	0.0082	0.0964
ATP1A1	113.8193	42.6983
SLC15A2	7.2041	1.0991
EIF4E3	3.3978	23.5722
PROK2	0.0928	0.161
LRRC58	24.6515	24.3997
FSTL1	101.2462	400.0823
LMOD1	16.4138	52.4094
ELF3	85.7164	4.3173
PDCL2	0	0
TMEM183A	30.1868	17.9913
TMEM169	0.7564	2.0752
IGFBP7	353.197	233.4515
TRIM46	7.0446	0.2386
KRTCAP2	4.1994	1.0891
CXCR1	0.142	0.7742
ARPC2	117.704	73.3749
TSACC	8.3681	0.2328
CCT3	906.5354	94.5448
TMEM79	40.1532	3.9673
SSR2	241.8005	39.2438
RNF25	21.482	15.509
STK36	4.9545	6.3403
ADORA1	8.5957	8.6724
NEK10	0.1562	1.8334
CCDC141	0	0.395
FEV	0	0
CRYBA2	0.1372	0
IHH	0	0.0175
EOMES	0.6005	0.5562
CWC22	27.1989	23.8692
AZI2	4.8129	12.6386
TGFBR2	22.0341	287.4144
RETNLB	0	0
ANKZF1	31.6148	8.0966
HDAC11	14.8417	8.859
FCRL4	0.2185	0
TRAT1	0.0406	0.4404
FBLN2	70.4935	500.7921
GLB1L	13.5282	10.4787
STT3B	84.0128	87.4285
CHCHD4	13.3186	19.3393
DPPA2	16.6318	0
NFASC	3.6968	3.9972
FCRL1	0	0.0438
SERPINI1	6.7293	17.8322
CLASP2	6.4411	10.4717
SUCLG1	48.8644	108.5159
NUAK2	6.3859	1.276
SPTA1	0.0987	0.0942
PRKCI	36.1478	11.4201
MNDA	6.3817	5.9402
PYHIN1	0.4583	1.6269
IFI16	76.5772	51.2544
AIM2	2.0768	0.8543
EFHB	0.2397	0.3742
EIF5A2	4.3133	4.8962
SLC2A2	0	0
RPL22L1	41.5997	15.0419
FABP1	0	0.0179
PPM1L	4.6398	11.6571
ICA1L	0.1554	1.8577
CTLA4	0.1166	0.5864
ICOS	0	0.1974
RYBP	25.1448	16.631
PPP4R2	27.1592	27.257
CD200R1	0.1796	2.981
GTPBP8	6.3125	5.5198
SPICE1	0.6409	0.3814
CADPS	0.2246	0.0177
NKX6-1	0.4042	0.0841
CDS1	19.1406	5.4325
WDFY3	7.1466	12.7554
COX18	3.519	7.9145
PTPN13	5.3542	18.7457
SYNPR	0.0988	0
ALB	0.2036	3.8464
C4orf36	0.0475	0.0412
THOC7	65.928	61.3783
ATXN7	5.397	5.2198
PSMD6	13.5758	15.0362
PRICKLE2	1.493	11.4558
ADAMTS9	10.3341	7.7017
PPM1K	2.1457	5.0343
ERICH6	0.1202	0.0417
CLRN1	0	0
GMPS	43.6449	16.7054
TIPARP	14.6568	15.0811
CCNL1	16.7766	14.4197
PTX3	6.8858	3.9732
HESX1	1.2699	1.507
DCLK3	0.6982	0.2096
SLMAP	10.5656	12.0676
RPL9	116.6246	364.8434
SMIM14	23.7666	55.1686
RPP14	1.3224	2.4899
ABHD6	2.9828	19.1997
DNASE1L3	0.0834	4.0926
RBM47	20.7956	9.7487
APBB2	11.746	33.5974
IL17RE	27.5476	8.2316
IL17RC	27.6732	12.0753
CRELD1	0.8809	1.3796
PRRT3	2.1836	1.4668
FANCD2OS	0.208	0
PCOLCE2	4.4486	228.752
U2SURP	29.4152	21.399
MTMR14	19.0993	14.1259
TTC14	6.139	11.4362
CXCL3	0.2923	0.234
CXCL5	1.147	0.3197
PPBP	0.1527	0.1986
PF4	0	0.2799
MTHFD2L	2.1546	1.7847
CXCL1	3.0406	0.6989
RCHY1	5.6242	8.7593
PLSCR2	0.2579	0.0958
CCDC158	0.2725	2.3407
CPA3	1.8968	48.7284
GYG1	28.7438	16.6292
HPS3	12.6066	7.0325
TM4SF18	50.4679	24.7479
TOPBP1	29.7386	10.5622
RYK	37.5591	23.0394
SNRK	9.7632	24.65
TCF23	0.0097	0.2027
DNAJC5G	0	0.037
UCN	0.5021	1.1974
ZNF513	14.9686	4.6921
SLC4A1AP	23.8313	13.0713
PLB1	0.3596	1.1316
SPDYA	0.3295	0.1739
KIAA1143	9.8528	22.8208
KIF15	10.5724	0.68
TGM4	0.0092	0.0079
WDR43	61.5088	25.6367
ZDHHC3	12.6143	18.8667
CDCP1	49.4507	3.5038
CLEC3B	1.2664	168.2884
SLC6A20	0.255	0.6244
LZTFL1	5.1911	9.9194
FYCO1	9.7715	44.2858
CCR1	10.7107	10.3512
RTP3	0	0
LRRC2	0.0443	3.8784
ELP6	12.9171	12.9781
FBXO40	0	0.1069
DTX3L	42.3003	25.2128
ZNF148	18.7735	16.073
NMNAT3	0.7686	2.1396
SMIM12	11.85	6.3834
ZMYM6	2.6648	3.0571
TPRA1	25.1829	12.2317
YEATS2	19.2618	7.874
GRIK3	0.3232	0.7626
ZC3H12A	5.8596	3.5976
MEAF6	29.7923	22.4377
SNIP1	10.0175	8.3996
DNALI1	0.795	6.8555
POLR2H	33.1948	13.5199
KLF15	0.727	26.9548
CAMK2N2	0.7216	0.1788
LIPH	10.7414	1.1829
TMEM41A	17.0789	6.5593
RPN1	482.695	127.4721
SENP2	13.7911	16.9982
HEYL	18.8347	6.7817
IFT122	11.4486	9.6094
RHO	0.018	0
RFC4	27.1702	6.4247
RPL39L	112.9287	11.5189
BAP1	43.4443	36.8769
TKT	423.7796	110.1582
PRKCD	163.0595	86.873
RFT1	19.5884	6.5231
SFMBT1	5.2346	5.1716
GNL3	95.5377	36.5609
PBRM1	16.8644	26.5379
UVSSA	1.9699	3.2298
ARHGEF3	12.6939	21.1345
SLBP	65.2824	44.2108
LRPAP1	23.1826	19.6388
ZDHHC19	0.0822	0.0891
SLC51A	1.2514	2.1293
UBXN7	16.6761	15.8773
RNF168	9.5368	12.0574
PIGX	12.558	15.805
OTOP1	0	0
S100P	258.1634	1.6536
ABLIM2	4.3616	1.8526
EXO5	6.1966	1.6933
CLDN19	0.0139	1.922
C1orf50	0.7079	2.1446
ERMAP	5.2861	8.8202
ZNF691	15.5372	11.1786
AIMP1	14.0329	14.3878
SGMS2	7.1951	7.6111
METAP1	38.4074	21.369
DNAJB14	4.4894	10.7222
EMCN	4.5438	36.501
SLC9B1	0.27	0.6292
SLC9B2	2.6596	3.7887
BDH2	3.9051	12.1017
PGRMC2	50.2405	106.7605
CDC25A	21.1498	0.4802
CAMP	0.4688	0
ZNF589	9.7694	6.5989
FBXW12	0.329	0.0248
PLXNB1	35.5877	12.9214
CCDC51	34.0572	12.0112
ATRIP	11.1899	3.9596
SHISA5	100.1009	60.2372
SPRY1	15.2972	61.8411
BSN	0.086	0.2504
APEH	56.3789	31.7894
INTU	1.6859	3.5336
RNF123	7.7207	7.2436
HSPA4L	1.2998	2.4965
MFSD8	2.5599	4.7332
CAMKV	0.5938	0.012
MON1A	4.1025	3.2892
MST1R	8.0087	1.5818
RAD54L2	14.5912	7.7764
TEX264	16.9739	16.6443
GRM2	0.2531	0.0244
DUSP7	17.9725	12.2732
POC1A	28.8752	2.074
PPM1M	9.9459	22.2404
ETNPPL	0	0.1471
WDR82	81.0156	70.022
PITX2	0.8536	0.6954
C4orf3	194.5076	173.7489
PRSS12	5.7347	0.8918
NDST3	0.1092	0
HMGB2	186.2815	55.7759
SAP30	42.8056	7.4374
SCRG1	3.4124	0.2713
HAND2	0.3603	1.9225
MAD2L1	18.739	1.2078
ANXA5	320.6778	555.694
ADAD1	0	0
MAP9	4.3659	4.0841
FBXO8	15.7374	33.4735
CEP44	4.4264	4.5781
HPGD	0.3608	5.7812
ASB5	0.0118	0
C4orf45	0	0.1165
TMEM144	5.1039	5.2215
NPY1R	5.491	28.8425
NPY5R	0.4634	4.2128
NAA15	20.3629	9.9845
IL15	0.4688	1.1372
ARFIP1	19.9979	25.5824
ICE1	39.4691	17.2558
HHIP	0.0125	0.4385
ANAPC10	1.2358	1.7606
ABCE1	32.9817	19.2961
OTUD4	11.8903	13.9637
LSM6	7.7197	10.8418
TMEM184C	12.1639	20.9408
PRMT9	4.8355	8.5181
ITGA2	21.567	9.8309
MOCS2	6.9002	20.6013
SLC45A2	0.3251	0
EDIL3	33.6205	8.8618
TMEM161B	1.8871	2.6959
ELOVL7	3.3331	9.5151
NDUFAF2	3.6599	6.091
ZNF474	0.527	0.1662
LMBRD2	7.2167	11.0297
RANBP3L	1.3587	1.577
NIPBL	31.9443	20.3713
RNF180	1.1016	7.595
ADGRV1	0.1106	0.2802
SLC25A46	9.6653	25.1871
STARD4	4.1609	1.5834
PGGT1B	3.325	8.2336
F2RL2	0.7467	1.9171
CCDC112	8.778	6.5543
ANKRD33B	2.3251	3.339
CMBL	9.7399	34.2821
C5orf63	1.2005	1.4142
PRRC1	26.3043	19.0779
F2RL1	3.8997	2.1265
AGGF1	4.0654	7.9883
WDR41	11.0118	15.342
PRDM9	0.0271	0
NDUFS4	44.0728	114.9175
SCGB3A2	4.038	0.0403
SPINK1	18.807	0
HTR4	0	0.0553
ESM1	81.9974	0.8197
GRPEL2	15.2769	10.7708
CDC20B	0.0221	0.1531
ARSK	3.0341	5.0322
RHOBTB3	12.7466	51.0436
GPX8	36.4995	25.1592
TIGD6	2.9862	4.6551
SPZ1	0	0
SERINC5	16.6649	10.7322
ENPP6	3.4381	0.6
CAGE1	0.0284	0.0246
CASP3	52.15	16.6569
PRIMPOL	4.6156	8.8276
ERAP1	16.3282	42.7245
ERAP2	6.0136	23.8904
CMYA5	2.9088	3.5662
EGFLAM	3.9623	24.5003
CFAP97	22.9635	23.2409
TMEM174	0	0
CARTPT	0	0
RICTOR	6.8947	7.7782
EBF1	3.3878	87.365
ANKRA2	2.7769	8.949
UBLCP1	26.0315	32.9921
FAM170A	0.0724	0
UTP15	4.5919	5.5079
TLR3	2.3965	12.2569
KLKB1	0.2054	0.4453
NSA2	26.8079	49.6348
GFM2	7.6646	12.1602
TERT	0.059	0.0219
SLC6A18	0	0
CCDC127	11.6485	7.6154
FOXQ1	13.4067	0.2927
ADGRF2	0.1404	0.0068
ACSL6	2.6421	0.0356
IL3	0	0
CSF2	0.1266	0
SEPTIN8	26.3554	17.5905
SHROOM1	3.5324	7.2857
GDF9	0.2587	0.5806
UQCRQ	44.9913	58.0953
LEAP2	1.0111	0.7757
GJB7	0.2379	0.0159
SLC35A1	11.4104	13.6925
GRIK2	0.2831	0.1855
FABP7	0.7222	8.2467
TLX3	0.2277	0
TXLNB	0.6034	2.0841
CITED2	53.3411	123.9661
CREBRF	2.9048	13.9985
DCBLD1	8.8317	4.4481
SFXN1	15.0488	7.4481
SAMD3	0.0217	0.2822
TMEM200A	8.1768	2.2824
IL22RA2	1.2573	0.3137
DACT2	0.1763	1.5999
PDSS2	7.7369	14.2134
STXBP5	5.6099	8.5022
IL31RA	0.0313	0.1019
ANKRD55	0	0.2055
RAET1E	0.0664	0.4321
PI16	0.0433	333.7449
TBX20	0.0546	0.0237
DAGLB	14.6412	5.2468
STK17A	13.0906	9.5705
TRA2A	45.8509	37.2882
GALNT10	18.8153	17.7677
SAP30L	10.1366	32.8804
RPS14	217.1361	282.5691
HCN1	0.0871	0.2296
MYOZ3	0.3065	0.2953
COG5	24.1188	13.748
NEUROD6	0	0
GPR85	1.1024	0.5258
SLU7	27.1709	37.3354
RP9	23.6485	7.4202
PTTG1	80.3631	1.6212
CAMLG	7.8403	17.5434
BMPER	0.1811	5.1555
RELL2	2.1249	0.2513
KCNK5	27.79	2.7222
KIF6	0.1723	0.2734
ZNF12	22.8519	14.7754
SLC29A4	16.2111	46.1954
STEAP1	6.1723	49.1262
CDCA7L	14.0435	5.0447
SP8	0	0.0116
MIOS	11.4594	10.3049
USP49	1.3706	1.8463
SYTL3	3.8765	7.336
IQUB	0.0654	0.1631
HEY1	5.1287	6.2849
ZNF704	15.1202	21.574
FABP5	55.7392	34.429
SHH	0.0191	0.0083
TAGAP	6.3208	2.328
COL1A2	1208.6649	655.0211
FNDC1	35.524	27.6543
CHMP4C	60.0522	4.883
SLC13A4	0.2241	0.4103
PGAM2	0	0
BRI3	63.8086	41.1137
LMTK2	13.8849	6.8913
SLC35G3	0	0
CTSB	207.8129	175.913
SOX17	1.9567	6.8426
DLC1	7.6399	36.9178
ADCY1	2.7331	1.8062
C8orf48	2.1083	2.5291
SUN3	0.3457	0.025
C7orf57	0.2413	0.038
HNF4G	2.5171	0.1533
PEX2	25.274	24.8173
RAD21	231.6459	88.9913
SLC30A8	0.0318	0.0276
MED30	31.8429	9.5553
TNFRSF11B	16.2279	2.9971
SBSPON	1.0259	4.61
PHKG1	2.8001	6.047
EN2	0.5879	0.3186
KCNV1	0.0217	0
CSMD3	0	0.0127
SPIDR	23.202	13.7998
ORC5	23.3131	10.1782
DEFA5	0	0
DNAAF5	26.2302	6.8852
DEFA4	0	0
DEFA6	0	0
OSGIN2	27.6756	49.6177
DEFB1	25.4134	16.2692
SUN1	36.1983	35.7947
OXR1	27.3476	37.4441
TMEM74	0.7465	0.4258
GPR146	1.0949	6.4972
GPER1	3.467	17.6097
UNCX	0	0
TMEM184A	11.3726	0.5969
NOS3	2.7089	6.2449
SPAG11B	0	0
MICALL2	10.7141	1.3259
CA3	1.6201	26.8083
INTS1	87.9156	24.1495
CDK5	25.3812	6.0148
SLC4A2	48.9858	11.7747
SLC7A13	0.0223	0
FASTK	63.2445	24.8243
TMUB1	58.1562	15.1211
GBX1	0	0
PHAX	33.2863	30.7681
ALDH7A1	26.5158	11.4392
FOXK1	30.1329	9.4092
COX6C	125.2719	55.4107
OSR2	1.3623	17.8245
YWHAZ	604.5518	206.3842
BAALC	0.5497	4.1601
FZD6	63.4831	19.0959
CTHRC1	158.9789	26.5814
SLC25A32	0.1912	0.0592
DCAF13	44.8944	5.7996
DCSTAMP	0.3951	0.0779
TP53INP1	13.6432	26.2851
INTS8	26.692	7.7616
FREM1	0.2412	12.0175
GEM	15.3002	38.8082
PDP1	23.5498	12.7244
TMEM67	2.583	2.5873
RPP25L	55.9723	30.9461
FAM219A	28.9451	11.1548
C9orf24	0.2113	2.4734
SNAPC3	10.3837	12.9018
NUDT2	54.4059	42.2207
TMEM65	26.4038	5.4919
PSIP1	15.3075	29.0642
CCDC171	0.4174	0.7345
UBAP1	60.6772	71.2567
DIRAS2	0.1235	0.1461
SYK	10.0557	9.883
NIPSNAP3B	0.8774	25.7079
ABCA1	7.5131	48.766
NFIL3	76.5548	39.1633
LETM2	0.2122	0.6369
METTL2B	10.1949	7.8345
PRKACG	0	0
FXN	2.3776	2.0261
ZMAT4	0.4867	0.0117
NKX6-3	0	0
TMEM71	1.7051	1.5305
MAMDC2	2.4607	40.7133
PRSS37	0.0225	0.1363
CPA6	0.0173	0.1199
C8orf34	0.0583	0.5942
TMC1	0.1718	0.1341
ALDH1A1	0.9663	183.65
KDM1B	19.7841	8.2626
HGSNAT	21.742	42.2714
RASEF	6.113	4.2527
GKAP1	1.2467	10.5565
KIF27	1.0122	1.6382
C9orf64	7.7543	17.4239
HNRNPK	279.081	215.352
SSMEM1	0.1094	0.253
SVEP1	2.3413	118.9147
TRPV6	6.8788	0.4217
ANKS6	12.1332	5.8591
FBP1	2.5375	15.75
ZHX1	21.6685	37.4468
CFAP47	0.1526	0.0378
CYBB	6.8428	56.5614
DYNLT3	38.413	31.5643
MID1IP1	17.3092	19.0985
CXorf58	0.1352	0.1407
KIAA1958	1.8114	2.0615
PTCHD1	4.8683	0.6549
RNF183	0.0274	0.1543
ASB11	0.016	0.097
PCDH19	0.3938	4.9141
PIGA	10.488	2.9492
OR1Q1	0.1056	0
OR1K1	0	0
STRBP	15.6733	5.4559
CLDN3	585.6241	8.2531
GAPVD1	9.9571	12.7505
WNK2	15.5493	2.0917
ATP7A	7.4752	5.583
ZNF367	4.1952	1.9129
NLGN4Y	0	0.0101
HDX	2.2548	1.556
NDUFB6	46.6914	52.104
AQP7	0.038	145.6554
NOL6	33.3052	13.3114
AQP3	12.2039	10.7318
TRMT10B	3.7256	7.8355
VCP	207.9001	96.4118
PIGO	21.5368	9.2844
STOML2	254.201	88.8143
BRWD3	7.9782	3.1371
SLITRK5	0.1277	0.0574
MELK	70.3739	0.7429
ARMC3	1.048	0
OTUD1	21.4858	23.1615
ARHGAP12	25.2163	24.4736
FAT3	0.0595	0.4915
HECTD2	1.3997	3.0532
SLC7A3	0.022	0.3052
FBXO33	7.3425	11.5669
GPR101	0	0.0054
CLDN2	0.2634	2.3474
LRFN5	0.0163	1.1698
LRRC18	0.0309	0.1873
SPTSSA	66.9707	38.9942
WRN	3.7685	6.3835
MARCHF8	14.3658	22.3887
TSHR	0.0101	0.2444
CFL2	14.7101	55.0101
SUGT1	7.4965	8.7501
GTF2A1	12.726	23.3968
ZCCHC24	5.9404	78.4467
PGM2L1	8.8007	3.0055
PHYHIPL	0.7287	0.1499
SLC16A9	0.3943	1.612
FOLR2	0.9866	124.3682
INPPL1	38.6321	25.3007
PHOX2A	0	0.0243
MBL2	0.0138	0
GJB2	52.134	1.0144
CRYL1	8.9367	22.8295
REEP3	49.0151	49.4255
HEPACAM	0	13.6598
SKA3	12.9149	0.4907
MICU2	19.2426	24.7372
DDIAS	6.925	0.4944
PCF11	10.294	12.4576
PKNOX2	0.29	0.9001
RPL10L	0	0
LRR1	10.5661	8.6915
RPL36AL	296.7887	635.8514
DNAAF2	11.2964	5.3051
MAGEC3	0.0722	0.0313
ZNF22	38.673	33.4343
KLHDC2	9.0726	14.7426
EML5	0.0953	0.1849
NEMF	8.7609	10.4345
RPUSD4	19.6231	18.3955
ARF6	130.964	54.5024
TTC8	3.7479	7.019
TMEM63C	7.0573	0.816
NGB	0	0
NOXRED1	0.7809	0.2952
CDX2	0.0851	0.0492
AMER2	0	0
AKR1E2	4.8099	1.9692
KBTBD6	12.6979	10.747
SSX5	0	0.0292
SSX3	0	0
OTX2	0.236	0
FAAH2	16.5576	2.2931
DRGX	0.0173	0
NUDT5	51.584	21.1377
DACT1	18.7216	4.3987
OXGR1	0.8819	0.6021
UCMA	0.0574	0
BEND7	3.9247	4.0945
PRPF18	10.7962	7.0864
TAF3	10.5829	9.1154
VSTM4	3.8221	29.9309
VDAC2	49.1364	68.6612
SOHLH1	0.0274	0.0356
COMTD1	7.2699	2.5626
SLC18A2	0.0726	1.007
PDZD8	11.8789	13.116
ZNF503	7.1146	18.8062
QSOX2	19.4216	4.5951
FAM204A	4.6896	6.9153
NSD1	29.3404	15.9094
PRDX3	85.2606	172.3466
ENOX2	13.7244	9.667
GHITM	140.0714	254.7466
CLEC1B	0.1496	0.0118
SNAPC4	11.4922	4.4856
TMEM52B	0.6435	0.1488
PMPCA	21.6757	15.6841
FRMD7	0	0.4682
AK8	0.5481	1.4101
TSC1	4.1901	7.9482
GFI1B	0.0327	0.1063
HPRT1	83.0764	19.3798
ZMYND19	27.9097	7.1633
STOX1	0.7011	21.5461
RET	0.9654	3.8964
DDX21	144.5892	40.5545
BMS1	47.8118	16.624
STK32C	19.6043	4.3111
OR4K2	0	0
FUNDC2	15.3037	18.6554
METTL17	7.979	8.0811
SLC39A2	0.4435	0.3297
NDRG2	39.7577	63.6887
RNASE7	0.1771	2.7024
ARHGEF40	9.1521	39.0816
NSMF	36.6474	11.3829
ZNF219	3.7517	10.1695
C12orf50	0	0
CASP7	23.1795	13.5246
PPP1R36	0.9895	1.8849
BTNL9	0.2242	85.2004
CCDC186	14.7863	8.502
VWA2	4.0212	1.9207
METTL3	9.7986	9.745
SALL2	3.9672	5.0479
PRAP1	0.3997	0.1155
TRUB1	19.0071	15.1484
ERICH6B	0.0509	0.0882
CYP2C19	0	0.0553
ZFYVE1	13.1017	20.5704
C10orf82	0	0.6102
HSPA12A	2.5712	12.2206
FRAT1	1.3959	4.6459
UBTD1	42.7458	28.8198
ANKRD2	1.8225	0.328
E2F7	1.9749	0.1169
ARHGAP42	4.554	8.5302
ISCA2	6.6307	9.8697
OTOGL	0.0244	0.0564
PACSIN3	51.9419	7.4288
TTC7B	1.9918	5.546
SLC39A13	25.8902	16.3948
PSMC3	139.4483	83.9528
RAPSN	0.0266	0.0692
AGBL2	0.273	0.1815
TC2N	11.1843	24.8699
CPSF2	10.4514	11.0286
SMCO2	1.2865	0.1094
MOAP1	20.6566	39.2485
IFI27L1	5.8239	8.4481
IFI27	183.2664	70.8666
SERPINA12	0.4151	0.09
CLMN	11.7152	14.1245
PDZRN4	0.0922	3.4903
SLC6A5	0	0
CCDC38	0.0201	0.0611
NELL1	0.0376	0.0326
PTER	23.9941	16.0192
C1QL3	0.714	0
CACNB2	0.5096	0.9459
HACD1	7.3665	2.571
ARL5B	23.4446	10.3194
SMCO4	50.0307	13.5363
CEP295	2.5761	2.4949
KCNC2	0	0.0134
TAF1D	11.8447	10.6028
ABTB2	17.0763	2.1043
R3HCC1L	14.3077	10.3478
AMOTL1	18.9284	31.7508
HTRA1	263.137	501.6527
LIPC	0.06	1.2481
CEP57	6.0288	11.8577
TCP11L2	1.6139	6.7363
PASD1	0	0
SPRED1	13.6617	19.0384
TMCO5A	0.0094	0
GPR176	11.8967	8.2381
JAM3	4.9566	12.4383
IL25	0	0.095
CMTM5	0.0171	0.1933
GLB1L3	0.0223	0.4644
ADAMTS15	12.2957	11.3493
SVOP	0.1476	0.0305
SPATA19	0	0
GPT2	37.2921	74.847
AMN	0.0698	0.0908
RAB8B	12.1243	27.0315
IKBIP	11.2543	11.1421
RPUSD2	10.2236	6.6581
HIF1AN	7.8359	12.622
NDUFB8	3.7191	4.0044
ZFYVE19	18.4589	8.7371
PPP1R14D	0.633	0.2495
SPINT1	407.2063	16.2473
FBN1	55.5271	180.617
AVPR1A	3.6487	11.1893
C16orf78	0	0
DEPDC4	0.224	0.4579
LRTM2	0.0233	0
OPN1MW2	0	0
BRD7	16.009	17.4575
CKB	3.0988	76.933
TRMT61A	18.5343	6.5906
BTRC	6.8132	9.8734
POLL	7.6224	10.0349
BAG5	23.3621	31.8095
DPCD	30.6867	9.8513
LARP6	11.4044	29.3812
