hgnc_symbol	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07
GPC1	43.5685	16.1811
ADCK1	4.044	3.0901
HAGH	11.3993	12.316
RNF4	26.1739	17.6567
CASP8	5.9863	8.5427
LIMCH1	29.5412	56.6817
TM7SF3	56.5221	28.0495
DLX3	7.9024	0.4622
SPA17	1.1122	0.9142
TSPAN32	0.1708	0.49
DMRT3	1.258	5.6633
ST3GAL6	3.293	12.5789
ATP2C2	5.1239	0.3825
NGFR	0.3615	12.7268
CDON	6.7029	15.5197
TAF2	33.9619	12.6837
HIPK2	14.165	33.4864
TNPO3	78.9192	40.1415
RFXANK	17.0039	16.509
TMEM161A	19.2829	12.8845
LPAR2	10.7673	2.618
CTSA	49.4262	27.0661
SUGP2	22.249	13.8371
SLC12A2	12.2244	16.2508
SNX24	6.4057	6.3521
EYA2	16.8111	17.389
CNN2	154.2644	59.8041
ABCA7	2.9549	3.952
SNCAIP	0.3845	2.3522
DDX20	11.873	7.5924
BTBD1	31.8564	52.0379
FAR2	13.7763	4.9179
BCAS1	0.3657	1.6333
POU1F1	0	0.1105
CHI3L2	45.292	5.8305
SBNO2	49.1028	12.1167
PMS1	8.4348	7.2036
HMG20B	61.2405	21.0007
CALCRL	6.3555	65.1257
TAF11	26.9671	19.9486
ANKS1A	17.0154	14.9594
AP3D1	55.2944	29.7252
ZNF76	8.4164	8.4471
SLC9A3R2	39.9475	62.4178
NTHL1	12.3609	5.609
GNAI3	46.53	24.1798
IPO5	45.9921	74.324
OAT	189.7879	91.8
WDR3	19.8639	9.2804
PKN2	17.7386	33.0243
WDR18	23.4287	15.1243
TRAM2	25.1636	26.7523
NTN1	13.1758	9.9691
GLP2R	0.035	3.2513
MCM10	28.0661	0.4283
DGKA	4.5903	3.6807
ERBB3	57.2523	9.6605
ROPN1	10.2375	0.4693
ANKRD44	4.6565	2.5335
ADAT1	8.4419	9.5007
PDIA5	63.0593	10.788
TBC1D22B	16.1562	8.1489
NDUFB4	148.9417	94.4682
SPEN	14.4333	23.7262
MYLK	21.3699	35.7248
